                                        The Restaurant - Description of the internal state
 Chef Waiter  Stu0  Stu1  Stu2  Stu3  Stu4  Stu5  Stu6   NCourse   NPortion                      Table
DLVPT APPST  CHTWC CHTWC CHTWC CHTWC CHTWC CHTWC CHTWC      2          7         4     2     3     5     1     0     6    
WAFOR PRSMN  TKSTT SELCS GGTRT CHTWC CHTWC OGODR GGTRT      0          0         5     3     4     1     0     -     -    
DLVPT WTFPT  CHTWC CHTWC CHTWC CHTWC CHTWC CHTWC CHTWC      2          7         4     2     3     5     1     0     6    
DLVPT WTFPT  EJYML CHTWC CHTWC CHTWC CHTWC CHTWC CHTWC      3          1         4     2     3     5     1     0     6    
WAFOR PRSMN  TKSTT CHTWC GGTRT CHTWC CHTWC OGODR GGTRT      0          0         5     3     4     1     0     -     -    
WAFOR APPST  TKSTT CHTWC GGTRT CHTWC CHTWC OGODR GGTRT      0          0         5     3     4     1     0     -     -    
WAFOR APPST  TKSTT CHTWC GGTRT CHTWC CHTWC OGODR GGTRT      0          0         5     3     4     1     0     -     -    
DSHPT WTFPT  EJYML CHTWC CHTWC CHTWC CHTWC CHTWC CHTWC      3          1         4     2     3     5     1     0     6    
DLVPT WTFPT  EJYML CHTWC CHTWC CHTWC CHTWC CHTWC CHTWC      3          1         4     2     3     5     1     0     6    
WAFOR PRSMN  TKSTT CHTWC GGTRT CHTWC CHTWC OGODR GGTRT      0          0         5     3     4     1     0     -     -    
WAFOR PRSMN  SELCS CHTWC GGTRT CHTWC CHTWC OGODR GGTRT      0          0         5     3     4     1     0     -     -    
WAFOR PRSMN  CHTWC CHTWC GGTRT CHTWC CHTWC OGODR GGTRT      0          0         5     3     4     1     0     -     -    
WAFOR APPST  CHTWC CHTWC GGTRT CHTWC CHTWC OGODR GGTRT      0          0         5     3     4     1     0     -     -    
WAFOR APPST  CHTWC CHTWC GGTRT CHTWC CHTWC OGODR GGTRT      0          0         5     3     4     1     0     -     -    
WAFOR APPST  CHTWC CHTWC GGTRT CHTWC CHTWC OGODR TKSTT      0          0         5     3     4     1     0     6     -    
WAFOR APPST  CHTWC CHTWC GGTRT CHTWC CHTWC OGODR TKSTT      0          0         5     3     4     1     0     6     -    
WAFOR PRSMN  CHTWC CHTWC GGTRT CHTWC CHTWC OGODR TKSTT      0          0         5     3     4     1     0     6     -    
WAFOR PRSMN  CHTWC CHTWC GGTRT CHTWC CHTWC OGODR SELCS      0          0         5     3     4     1     0     6     -    
WAFOR PRSMN  CHTWC CHTWC GGTRT CHTWC CHTWC OGODR CHTWC      0          0         5     3     4     1     0     6     -    
